Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
Moss_bin.220	79.37	3.93	Gradient Boost (General Model)	11	0.947	6918	271.98354114713214	1723607	0.71	2005	324	27520	None
Moss_bin.224	50.32	4.04	Gradient Boost (General Model)	11	0.95	1619	207.50381077529568	2482775	0.72	3805	1542	7757	None
Moss_bin.23	98.34	0.09	Gradient Boost (General Model)	11	0.891	135496	342.3596903511197	4164456	0.55	3617	48	382638	None
Moss_bin.241	78.66	3.32	Neural Network (Specific Model)	11	0.908	6688	264.99789362822537	3318279	0.63	3798	623	31375	None
Moss_bin.248	55.87	4.11	Gradient Boost (General Model)	11	0.934	3863	242.05638945233267	1911597	0.71	2465	630	19808	None
Moss_bin.251	97.99	1.43	Gradient Boost (General Model)	11	0.932	12718	290.3413566739606	2557130	0.64	2742	292	45245	None
Moss_bin.253	63.63	2.31	Gradient Boost (General Model)	11	0.904	3117	263.3036635706914	3381524	0.46	3876	1223	12397	None
Moss_bin.255	95.43	2.3	Gradient Boost (General Model)	11	0.927	53367	307.0148583275743	2867908	0.66	2894	79	174626	None
Moss_bin.259	72.18	1.32	Gradient Boost (General Model)	11	0.938	3826	251.54462809917356	1941541	0.66	2420	563	13601	None
Moss_bin.26	92.87	2.04	Gradient Boost (General Model)	11	0.929	123047	317.46444304594087	1626800	0.41	1589	18	318400	None
Moss_bin.265	95.72	4.03	Gradient Boost (General Model)	11	0.901	31400	365.37321156773214	7980659	0.57	6570	399	96557	None
Moss_bin.272	96.97	3.68	Gradient Boost (General Model)	11	0.921	28949	315.92004703115816	3495474	0.57	3402	190	109637	None
Moss_bin.276	39.6	0.13	Neural Network (Specific Model)	11	0.926	3237	245.61994219653178	1647919	0.71	2076	531	16952	None
Moss_bin.277	78.84	5.51	Gradient Boost (General Model)	11	0.944	3661	260.252938517179	3652120	0.74	4424	1108	15892	None
Moss_bin.282	98.07	0.45	Gradient Boost (General Model)	11	0.898	59919	365.1514331210191	7650869	0.52	6280	196	277675	None
Moss_bin.284	68.81	0.4	Gradient Boost (General Model)	11	0.936	4197	267.12305212251476	1590181	0.72	1861	441	22489	None
Moss_bin.285	64.96	4.71	Gradient Boost (General Model)	11	0.898	3087	257.76417525773195	4665545	0.73	5432	1666	9908	None
Moss_bin.309	62.63	4.01	Gradient Boost (General Model)	11	0.9	3895	251.58480053487853	3757925	0.65	4487	1055	18649	None
Moss_bin.313	49.09	5.05	Neural Network (Specific Model)	11	0.915	1650	204.83356070941338	2453545	0.63	3665	1478	7864	None
Moss_bin.314	86.26	10.21	Neural Network (Specific Model)	11	0.907	7160	268.9602998334259	3196563	0.68	3602	600	113378	None
Moss_bin.32	90.1	0.64	Gradient Boost (General Model)	11	0.922	24724	360.41609741609744	3941052	0.74	3367	261	121475	None
Moss_bin.320	93.45	4.96	Gradient Boost (General Model)	11	0.905	13019	282.6566757493188	4455725	0.71	4771	444	52011	None
Moss_bin.323	94.4	2.83	Gradient Boost (General Model)	11	0.919	17440	342.00089067022935	5006356	0.68	4491	419	78412	None
Moss_bin.326	99.98	1.23	Neural Network (Specific Model)	11	0.916	99056	306.86921910538285	2644178	0.61	2638	47	231708	None
Moss_bin.327	95.6	2.83	Gradient Boost (General Model)	11	0.927	26053	300.2266462480858	3163940	0.74	3265	196	60312	None
Moss_bin.329	60.77	0.43	Gradient Boost (General Model)	11	0.934	3707	282.8373824451411	2315204	0.38	2552	686	16111	None
Moss_bin.333	100.0	0.56	Gradient Boost (General Model)	11	0.909	156142	278.6283292978208	757301	0.49	826	8	330874	None
Moss_bin.336	57.42	3.1	Gradient Boost (General Model)	11	0.911	3414	301.08578745198463	3093181	0.68	3124	1000	15622	None
Moss_bin.340	56.59	4.79	Gradient Boost (General Model)	11	0.941	3164	248.85506257110353	3476338	0.71	4395	1173	18236	None
Moss_bin.47	78.51	3.63	Gradient Boost (General Model)	11	0.944	3712	265.4441107774441	2523474	0.73	2997	761	18096	None
Moss_bin.48	97.39	2.14	Gradient Boost (General Model)	11	0.946	19609	345.32257293161166	4569641	0.68	4182	342	74541	None
Moss_bin.55	100.0	0.18	Gradient Boost (General Model)	11	0.897	172969	334.7443656093489	5357790	0.42	4792	72	683147	None
Moss_bin.56	96.63	0.85	Gradient Boost (General Model)	11	0.935	37024	292.5977011494253	1140502	0.36	1218	44	99290	None
Moss_bin.58	59.74	2.52	Gradient Boost (General Model)	11	0.929	3654	271.99314089739926	3067341	0.72	3499	912	23989	None
Moss_bin.59	91.98	3.57	Gradient Boost (General Model)	11	0.885	6492	271.83584905660376	4387318	0.46	4770	852	45933	None
Moss_bin.66	72.13	2.1	Neural Network (Specific Model)	11	0.927	10647	291.13011828935396	2066471	0.65	2198	257	52654	None
Moss_bin.78	74.7	3.94	Gradient Boost (General Model)	11	0.854	3135	245.3103139013453	3837386	0.71	4460	1330	11910	None
Moss_bin.8	56.6	1.95	Gradient Boost (General Model)	11	0.922	2256	229.79675103891196	1973871	0.71	2647	933	8340	None
Moss_bin.9	76.39	0.53	Gradient Boost (General Model)	11	0.934	5983	276.51320285803047	2852366	0.75	3219	597	24627	None
Bare_bin.100	92.4	2.2	Gradient Boost (General Model)	11	0.951	6462	265.3430547203848	2773099	0.74	3326	571	33153	None
Bare_bin.103	97.29	2.28	Gradient Boost (General Model)	11	0.945	25402	321.3239656518345	3911246	0.71	3843	219	111219	None
Bare_bin.105	96.28	3.0	Gradient Boost (General Model)	11	0.929	41550	309.89592875318067	3923243	0.75	3930	148	141377	None
Bare_bin.106	60.28	1.07	Gradient Boost (General Model)	11	0.908	3723	250.2206553297387	1988770	0.67	2411	585	10910	None
Bare_bin.109	55.82	8.3	Gradient Boost (General Model)	11	0.89	1710	214.09988169680582	4258043	0.71	5917	2482	9430	None
Bare_bin.111	84.57	5.35	Gradient Boost (General Model)	11	0.935	4977	279.15135218192995	5803862	0.63	6508	1377	22887	None
Bare_bin.121	70.73	1.02	Gradient Boost (General Model)	11	0.871	4740	279.8975248669905	4160411	0.5	4323	1001	38981	None
Bare_bin.125	72.96	3.66	Gradient Boost (General Model)	11	0.946	4816	260.40651906519065	2677981	0.72	3252	669	19059	None
Bare_bin.127	87.77	7.09	Gradient Boost (General Model)	11	0.892	7460	262.16359060402687	3147989	0.67	3576	593	32400	None
Bare_bin.129	68.58	0.89	Gradient Boost (General Model)	11	0.926	2568	206.2395038167939	698428	0.43	1048	299	10249	None
Bare_bin.133	92.83	4.19	Gradient Boost (General Model)	11	0.936	9843	278.9955917260088	2629477	0.75	2949	379	47862	None
Bare_bin.137	78.16	2.98	Gradient Boost (General Model)	11	0.952	3763	312.7470790378007	2862363	0.67	2910	911	17483	None
Bare_bin.140	59.0	5.34	Gradient Boost (General Model)	11	0.861	3001	266.6988118264714	3357810	0.68	3619	1170	13543	None
Bare_bin.141	97.59	7.13	Gradient Boost (General Model)	11	0.936	19702	326.28653624856156	3625558	0.76	3476	303	61649	None
Bare_bin.143	79.82	1.97	Gradient Boost (General Model)	11	0.877	7573	307.29885386819484	3663117	0.68	3490	623	35004	None
Bare_bin.150	100.0	2.76	Gradient Boost (General Model)	11	0.922	85347	362.2246895893028	4926467	0.68	4188	138	281194	None
Bare_bin.157	87.07	3.05	Gradient Boost (General Model)	11	0.898	6233	300.1873438800999	6010727	0.66	6005	1207	35959	None
Bare_bin.159	98.28	5.57	Gradient Boost (General Model)	11	0.883	26799	305.32432012432014	6665361	0.73	6435	380	106443	None
Bare_bin.16	52.74	4.69	Gradient Boost (General Model)	11	0.932	2733	259.404927353127	2639085	0.72	3166	996	10267	None
Bare_bin.163	92.96	1.88	Neural Network (Specific Model)	11	0.911	58875	296.4422580645161	3018941	0.68	3100	82	183158	None
Bare_bin.168	98.19	2.4	Neural Network (Specific Model)	11	0.902	23918	325.6951812555261	4891235	0.46	4524	312	87527	None
Bare_bin.169	98.11	0.14	Gradient Boost (General Model)	11	0.932	670511	339.8317895516858	2946369	0.56	2699	10	777042	None
Bare_bin.17	83.55	4.88	Gradient Boost (General Model)	11	0.941	10497	290.49439542093967	3870422	0.74	4193	471	49412	None
Bare_bin.174	82.8	13.19	Gradient Boost (General Model)	11	0.944	6271	270.3031733543142	3267370	0.71	3813	642	34351	None
Bare_bin.181	93.82	1.87	Gradient Boost (General Model)	11	0.932	12164	330.78732050934707	3922522	0.45	3691	465	67909	None
Bare_bin.187	96.44	0.8	Gradient Boost (General Model)	11	0.906	85544	338.1821543012078	4535494	0.51	4057	90	232804	None
Bare_bin.189	85.51	4.33	Gradient Boost (General Model)	11	0.945	19882	309.3392775491541	4284184	0.73	4374	294	111772	None
Bare_bin.190	87.52	3.71	Gradient Boost (General Model)	11	0.942	9001	275.57397215927483	2702421	0.71	3089	408	56279	None
Bare_bin.210	92.74	5.86	Gradient Boost (General Model)	11	0.917	123782	356.5666335650447	5866395	0.56	5035	80	361216	None
Bare_bin.217	96.01	8.95	Neural Network (Specific Model)	11	0.915	59942	310.5680125441003	2591840	0.69	2551	63	132702	None
Bare_bin.230	86.03	3.84	Gradient Boost (General Model)	11	0.914	5260	276.7010494752624	3022861	0.73	3335	689	23045	None
Bare_bin.232	63.45	2.3	Gradient Boost (General Model)	11	0.918	4503	272.0470430107527	3959681	0.7	4464	1035	20562	None
Bare_bin.236	56.4	4.12	Gradient Boost (General Model)	11	0.915	3726	249.44317701732152	3864196	0.69	4734	1153	13714	None
Bare_bin.237	73.68	0.51	Gradient Boost (General Model)	11	0.904	3891	289.5951092837048	4431950	0.75	4621	1249	21401	None
Bare_bin.243	80.16	2.19	Gradient Boost (General Model)	11	0.914	6665	275.43804755944933	3606865	0.69	3995	645	31034	None
Bare_bin.247	95.75	2.23	Gradient Boost (General Model)	11	0.921	15027	309.8882275132275	3046272	0.73	3024	267	80089	None
Bare_bin.252	77.19	3.7	Gradient Boost (General Model)	11	0.911	6033	279.0745302384336	5807207	0.76	6333	1130	27286	None
Bare_bin.253	48.0	2.28	Gradient Boost (General Model)	11	0.935	1804	228.12597547380156	2619143	0.69	3588	1484	6684	None
Bare_bin.257	83.07	2.34	Neural Network (Specific Model)	11	0.932	27197	301.6702211690363	2452347	0.67	2532	130	79958	None
Bare_bin.259	79.7	4.93	Gradient Boost (General Model)	11	0.89	7208	251.4869029275809	548799	0.62	649	101	29223	None
Bare_bin.260	97.14	0.52	Neural Network (Specific Model)	11	0.749	12359	212.95016712245518	2799790	0.34	3291	359	63632	None
Bare_bin.271	52.06	0.68	Gradient Boost (General Model)	11	0.891	3416	294.77046340407105	2289732	0.68	2309	709	15216	None
Bare_bin.276	89.41	2.02	Gradient Boost (General Model)	11	0.903	10523	319.14438146048684	3175921	0.69	2999	417	32879	None
Bare_bin.282	93.32	0.11	Gradient Boost (General Model)	11	0.921	20598	268.4085005903188	738338	0.45	847	53	63843	None
Bare_bin.287	61.0	1.96	Neural Network (Specific Model)	11	0.909	5789	286.5809390329362	2694799	0.39	2854	547	20258	None
Bare_bin.297	61.1	1.52	Gradient Boost (General Model)	11	0.895	3361	254.4385065885798	1161757	0.4	1366	379	11240	None
Bare_bin.30	82.33	5.55	Gradient Boost (General Model)	11	0.886	7368	290.4850605652759	3650361	0.43	3715	571	28069	None
Bare_bin.300	88.83	0.26	Gradient Boost (General Model)	11	0.942	15303	294.2886363636364	2058792	0.74	2200	188	73648	None
Bare_bin.305	99.84	3.15	Neural Network (Specific Model)	11	0.91	9776	272.26676136363636	3152045	0.68	3520	466	64028	None
Bare_bin.308	99.54	2.09	Neural Network (Specific Model)	11	0.935	44230	312.753516090584	4198901	0.68	4195	144	130360	None
Bare_bin.312	97.91	0.34	Neural Network (Specific Model)	11	0.942	37728	309.75068386088316	2514696	0.63	2559	101	145530	None
Bare_bin.318	73.94	6.4	Gradient Boost (General Model)	11	0.89	4095	276.12254762581745	3267786	0.45	3517	906	14786	None
Bare_bin.32	83.7	4.0	Gradient Boost (General Model)	11	0.923	9222	277.8977597712107	3779972	0.74	4196	574	45024	None
Bare_bin.332	82.24	3.62	Gradient Boost (General Model)	11	0.936	5780	265.5556910569106	2088863	0.71	2460	450	20212	None
Bare_bin.336	94.48	2.77	Gradient Boost (General Model)	11	0.912	48733	341.55563716489166	6106873	0.6	5446	203	160158	None
Bare_bin.337	93.08	0.68	Gradient Boost (General Model)	11	0.905	12570	272.9437125748503	754004	0.43	835	83	32221	None
Bare_bin.340	70.69	7.57	Gradient Boost (General Model)	11	0.907	2055	242.4516369047619	4301213	0.63	5376	2252	10149	None
Bare_bin.341	96.09	0.26	Gradient Boost (General Model)	11	0.927	44528	295.1159974506055	2990224	0.66	3138	109	225881	None
Bare_bin.35	90.63	1.07	Gradient Boost (General Model)	11	0.896	7945	295.35888934935764	4766366	0.49	4826	790	69872	None
Bare_bin.352	77.72	3.35	Gradient Boost (General Model)	11	0.945	5595	269.7779901693064	3127946	0.74	3662	654	21104	None
Bare_bin.356	97.37	0.83	Gradient Boost (General Model)	11	0.91	32463	267.3763440860215	736037	0.49	837	42	69082	None
Bare_bin.360	61.53	4.21	Gradient Boost (General Model)	11	0.939	3764	249.38078783690395	2298518	0.71	2894	693	19344	None
Bare_bin.373	53.62	3.51	Gradient Boost (General Model)	11	0.889	3719	275.15831787260356	2998650	0.62	3234	872	17584	None
Bare_bin.379	97.42	0.21	Gradient Boost (General Model)	11	0.922	28738	342.60486971379754	5203720	0.66	4682	288	116957	None
Bare_bin.38	93.04	2.43	Neural Network (Specific Model)	11	0.897	23574	300.9824873849807	3382676	0.65	3369	227	74874	None
Bare_bin.398	100.0	1.98	Gradient Boost (General Model)	11	0.922	51068	353.5366726296959	3851577	0.63	3354	124	182564	None
Bare_bin.399	84.18	4.44	Neural Network (Specific Model)	11	0.912	9120	276.52440377149196	3274039	0.66	3606	467	37445	None
Bare_bin.402	97.46	0.03	Gradient Boost (General Model)	11	0.93	387038	281.7462121212121	718049	0.42	792	5	387038	None
Bare_bin.41	78.83	0.35	Gradient Boost (General Model)	11	0.933	7900	277.90996074582927	3634823	0.7	4076	623	118653	None
Bare_bin.410	86.33	4.18	Gradient Boost (General Model)	11	0.936	19467	306.7893732103086	3084244	0.76	3143	210	63820	None
Bare_bin.420	99.89	0.45	Gradient Boost (General Model)	11	0.954	219568	283.610086100861	722187	0.39	813	15	235493	None
Bare_bin.441	59.57	7.61	Gradient Boost (General Model)	11	0.876	3568	251.1263429308122	3993797	0.72	4654	1216	25372	None
Bare_bin.445	51.08	2.63	Gradient Boost (General Model)	11	0.913	2639	266.03874300473524	2027037	0.41	2323	787	10993	None
Bare_bin.45	99.99	1.33	Neural Network (Specific Model)	11	0.922	43829	306.74510638297875	2340404	0.68	2350	87	117915	None
Bare_bin.455	65.05	7.29	Gradient Boost (General Model)	11	0.926	3114	254.6267409470752	2953949	0.75	3590	1011	13127	None
Bare_bin.50	70.33	0.91	Neural Network (Specific Model)	11	0.897	13687	295.62365240117606	3023346	0.68	3061	285	69771	None
Bare_bin.51	81.99	0.87	Gradient Boost (General Model)	11	0.921	10596	275.27767235926626	2827209	0.76	3162	397	37586	None
Bare_bin.53	100.0	6.11	Gradient Boost (General Model)	11	0.939	22945	284.25105105105104	3014806	0.73	3330	179	113165	None
Bare_bin.54	95.3	6.58	Gradient Boost (General Model)	11	0.919	15408	285.805393258427	4139649	0.71	4450	415	64535	None
Bare_bin.59	66.85	2.19	Gradient Boost (General Model)	11	0.913	4207	257.9279569892473	1573002	0.62	1860	420	14033	None
Bare_bin.6	88.99	0.6	Gradient Boost (General Model)	11	0.872	13830	300.3517060367454	2359181	0.71	2286	254	47600	None
Bare_bin.63	93.97	0.91	Gradient Boost (General Model)	11	0.886	32223	313.49947000212	4998687	0.47	4717	240	172526	None
Bare_bin.65	75.78	5.14	Gradient Boost (General Model)	11	0.888	4882	265.3394278973754	3032781	0.71	3391	728	18917	None
Bare_bin.74	91.78	2.4	Gradient Boost (General Model)	11	0.919	13303	315.04103967168265	4503417	0.64	4386	477	63306	None
Bare_bin.8	98.79	1.08	Gradient Boost (General Model)	11	0.921	131080	351.04931594018456	3583449	0.44	3143	44	512775	None
Bare_bin.83	94.65	0.61	Neural Network (Specific Model)	11	0.813	23128	302.7452445652174	6568093	0.42	5888	422	72973	None
Bare_bin.84	92.44	2.4	Gradient Boost (General Model)	11	0.931	9570	264.9411098527746	751607	0.53	883	95	38450	None
Bare_bin.93	84.71	1.38	Gradient Boost (General Model)	11	0.887	4016	286.46061922868006	5338145	0.66	5523	1653	67780	None
Bare_bin.94	99.55	1.05	Gradient Boost (General Model)	11	0.907	49035	295.9497706422018	4261347	0.64	4360	139	131822	None
Bare_bin.95	92.72	2.83	Gradient Boost (General Model)	11	0.934	12831	314.71043165467626	3365054	0.63	3336	379	63965	None
Bare_bin.97	100.0	0.72	Neural Network (Specific Model)	11	0.888	42608	360.3436458829129	5105855	0.6	4202	185	215065	None
Crust_bin.1	100.0	0.25	Gradient Boost (General Model)	11	0.924	209684	307.1599516518936	2469398	0.51	2482	24	262631	None
Crust_bin.10	88.35	0.44	Neural Network (Specific Model)	11	0.834	13516	292.2065921130077	7133348	0.47	6796	729	74148	None
Crust_bin.100	86.96	2.17	Gradient Boost (General Model)	11	0.916	14311	278.66317088217147	2952634	0.66	3242	317	49586	None
Crust_bin.106	79.04	2.74	Neural Network (Specific Model)	11	0.82	4562	266.00088621056364	5480619	0.48	5642	1339	24046	None
Crust_bin.109	59.6	1.67	Gradient Boost (General Model)	11	0.901	2957	301.78952593695703	4041384	0.72	4029	1411	29665	None
Crust_bin.110	83.41	7.68	Gradient Boost (General Model)	11	0.953	7761	287.6828524989842	4440615	0.74	4922	760	40701	None
Crust_bin.114	91.63	3.68	Gradient Boost (General Model)	11	0.943	14954	295.8656783468104	4175851	0.74	4452	419	66739	None
Crust_bin.12	79.33	10.8	Gradient Boost (General Model)	11	0.912	3248	259.0317400577092	6776805	0.51	7971	2494	35719	None
Crust_bin.122	74.42	0.54	Gradient Boost (General Model)	11	0.907	3330	284.3730507796881	4697951	0.66	5002	1641	17956	None
Crust_bin.127	65.52	9.92	Gradient Boost (General Model)	11	0.92	1762	213.66643059490085	2943972	0.68	4236	1692	9167	None
Crust_bin.136	98.38	10.61	Gradient Boost (General Model)	11	0.89	23773	336.8169146436962	7238245	0.71	6385	498	107153	None
Crust_bin.143	96.31	0.45	Gradient Boost (General Model)	11	0.884	182651	314.27378373054955	5408422	0.48	5077	52	407038	None
Crust_bin.145	94.68	0.86	Neural Network (Specific Model)	11	0.78	34708	225.9816513761468	2360927	0.41	2725	117	96499	None
Crust_bin.147	66.17	1.7	Gradient Boost (General Model)	11	0.906	2969	229.32037193575655	895620	0.46	1183	350	23105	None
Crust_bin.159	81.92	1.1	Gradient Boost (General Model)	11	0.905	6113	234.82228116710874	585256	0.62	754	124	20824	None
Crust_bin.164	62.78	2.02	Gradient Boost (General Model)	11	0.948	7897	281.8639088729017	2966811	0.73	3336	472	32675	None
Crust_bin.165	87.18	3.66	Gradient Boost (General Model)	11	0.907	8319	280.35731781996327	3022042	0.69	3266	515	38846	None
Crust_bin.169	80.39	4.37	Neural Network (Specific Model)	11	0.852	5228	275.87376441515653	4713128	0.49	4856	1030	21645	None
Crust_bin.170	76.05	0.26	Gradient Boost (General Model)	11	0.899	8692	308.60140562248995	3074823	0.66	2988	460	42986	None
Crust_bin.177	70.75	5.77	Gradient Boost (General Model)	11	0.92	2489	248.5830618892508	993019	0.43	1228	429	8256	None
Crust_bin.189	98.49	2.99	Gradient Boost (General Model)	11	0.864	14738	305.9649400588102	4689891	0.67	4421	516	76958	None
Crust_bin.202	90.26	1.84	Gradient Boost (General Model)	11	0.931	8957	276.9695802849442	2313287	0.71	2597	340	34527	None
Crust_bin.22	79.06	4.84	Gradient Boost (General Model)	11	0.885	3029	252.58107094645268	5700084	0.63	6667	2217	12527	None
Crust_bin.223	72.04	1.61	Gradient Boost (General Model)	11	0.91	4551	278.79846322722284	4178240	0.45	4555	1024	19561	None
Crust_bin.225	46.45	5.68	Gradient Boost (General Model)	11	0.85	1716	212.44420554719414	3478104	0.65	4651	2029	47517	None
Crust_bin.227	92.61	2.69	Gradient Boost (General Model)	11	0.916	10312	283.90846349436976	5107527	0.76	5506	711	42284	None
Crust_bin.234	87.82	1.03	Gradient Boost (General Model)	11	0.937	14282	272.3390557939914	1012653	0.36	1165	105	70505	None
Crust_bin.235	69.64	2.23	Neural Network (Specific Model)	11	0.906	4175	255.5213987473904	3236619	0.73	3832	867	17163	None
Crust_bin.246	68.33	3.18	Gradient Boost (General Model)	11	0.924	4475	245.54753265602324	2189914	0.72	2756	558	20877	None
Crust_bin.250	97.11	0.15	Gradient Boost (General Model)	11	0.893	15487	250.81457663451232	784504	0.47	933	67	41123	None
Crust_bin.258	79.19	5.21	Gradient Boost (General Model)	11	0.92	3991	250.65042016806723	2910506	0.72	3570	814	20861	None
Crust_bin.260	73.18	3.84	Gradient Boost (General Model)	11	0.928	3519	271.8069350573024	2984057	0.54	3403	1037	12373	None
Crust_bin.265	98.03	2.7	Gradient Boost (General Model)	11	0.908	213318	356.75858274647885	5349368	0.49	4544	47	443833	None
Crust_bin.272	97.3	2.56	Gradient Boost (General Model)	11	0.919	199519	345.7276693455798	4907766	0.63	4355	35	747585	None
Crust_bin.275	48.7	1.84	Gradient Boost (General Model)	11	0.924	3027	245.8767605633803	2035584	0.72	2556	720	19231	None
Crust_bin.280	88.96	0.17	Gradient Boost (General Model)	11	0.87	18145	302.0856134157105	2357083	0.71	2266	205	60661	None
Crust_bin.284	96.34	1.89	Gradient Boost (General Model)	11	0.867	15745	310.1224828731576	5161322	0.5	4817	525	73824	None
Crust_bin.286	71.2	2.0	Gradient Boost (General Model)	11	0.937	4978	287.5039904229848	2299874	0.6	2506	528	32115	None
Crust_bin.287	99.89	2.5	Neural Network (Specific Model)	11	0.822	58022	324.14146341463413	9680911	0.46	8200	279	180875	None
Crust_bin.292	54.71	1.61	Gradient Boost (General Model)	11	0.896	2180	236.80844155844156	3650741	0.53	4620	1783	9951	None
Crust_bin.302	100.0	2.0	Neural Network (Specific Model)	11	0.846	34174	311.66940733127785	6442639	0.57	5838	317	175410	None
Crust_bin.305	72.37	1.3	Gradient Boost (General Model)	11	0.929	5673	304.2764388999149	3456435	0.47	3527	717	24076	None
Crust_bin.308	70.43	2.36	Gradient Boost (General Model)	11	0.869	3450	266.95031871016124	4907617	0.66	5334	1673	35778	None
Crust_bin.317	82.57	0.64	Gradient Boost (General Model)	11	0.922	10337	292.42904411764704	2582135	0.7	2720	339	48014	None
Crust_bin.319	94.96	1.53	Gradient Boost (General Model)	11	0.898	12394	290.5533272561531	4249612	0.71	4388	508	66396	None
Crust_bin.329	97.3	2.99	Gradient Boost (General Model)	11	0.874	22218	301.5871804654712	5418131	0.71	5242	386	67870	None
Crust_bin.336	84.0	3.57	Neural Network (Specific Model)	11	0.915	7434	283.19739837398373	2847842	0.69	3075	481	36636	None
Crust_bin.337	78.87	6.95	Gradient Boost (General Model)	11	0.868	6162	305.70993615976425	6442732	0.57	6109	1278	37389	None
Crust_bin.343	57.27	3.65	Gradient Boost (General Model)	11	0.914	1745	214.51698924731184	1632263	0.68	2325	954	7144	None
Crust_bin.350	96.93	0.06	Gradient Boost (General Model)	11	0.911	30041	270.07906295754026	606363	0.5	683	28	91973	None
Crust_bin.358	42.34	0.03	Gradient Boost (General Model)	11	0.895	1923	214.6846153846154	1307527	0.71	1820	718	7161	None
Crust_bin.363	89.56	2.83	Gradient Boost (General Model)	11	0.847	6546	275.33495007132666	6820817	0.49	7010	1479	58548	None
Crust_bin.369	99.21	1.17	Gradient Boost (General Model)	11	0.9	88755	357.6595224666291	6332894	0.59	5319	146	264973	None
Crust_bin.37	93.61	3.66	Gradient Boost (General Model)	11	0.914	13447	280.9785252263907	3558089	0.69	3865	364	45024	None
Crust_bin.370	99.56	5.06	Gradient Boost (General Model)	11	0.897	8173	249.4375	1410615	0.38	1696	298	51177	None
Crust_bin.38	91.75	0.0	Gradient Boost (General Model)	11	0.923	7983	272.0583850931677	709522	0.45	805	108	18893	None
Crust_bin.385	90.12	0.45	Gradient Boost (General Model)	11	0.919	7283	241.38431876606683	612182	0.36	778	104	17314	None
Crust_bin.389	76.44	1.38	Neural Network (Specific Model)	11	0.911	5240	259.555298013245	2574534	0.66	3020	602	28748	None
Crust_bin.391	99.51	0.53	Gradient Boost (General Model)	11	0.91	26614	264.5878552971576	673433	0.54	774	42	78309	None
Crust_bin.420	94.57	8.3	Gradient Boost (General Model)	11	0.863	12697	331.70417055711175	7397676	0.67	6426	939	48994	None
Crust_bin.427	99.52	0.26	Gradient Boost (General Model)	11	0.897	179343	311.38909892879644	3296473	0.61	3174	35	543670	None
Crust_bin.436	52.0	1.33	Gradient Boost (General Model)	11	0.923	3708	289.8494972429452	2900190	0.69	3083	853	14874	None
Crust_bin.437	93.01	1.16	Gradient Boost (General Model)	11	0.9	28261	322.68593955321944	4086909	0.58	3805	241	111998	None
Crust_bin.448	94.25	2.04	Gradient Boost (General Model)	11	0.943	12700	289.6092053842814	2116290	0.74	2303	238	69869	None
Crust_bin.451	79.45	1.46	Gradient Boost (General Model)	11	0.937	5544	252.70807453416148	519153	0.52	644	110	14514	None
Crust_bin.455	83.8	3.63	Gradient Boost (General Model)	11	0.89	6878	252.7250341997264	620794	0.62	731	116	44976	None
Crust_bin.46	96.54	0.6	Gradient Boost (General Model)	11	0.907	12714	300.02245476346195	4543161	0.72	4587	510	60950	None
Crust_bin.464	54.07	0.44	Gradient Boost (General Model)	11	0.909	3182	240.46952010376134	2442270	0.67	3084	808	12119	None
Crust_bin.47	61.67	1.06	Gradient Boost (General Model)	11	0.922	2988	250.72644098810613	1777877	0.72	2186	611	14414	None
Crust_bin.49	92.0	1.36	Gradient Boost (General Model)	11	0.895	5239	293.72653399668326	5925996	0.75	6030	1442	45783	None
Crust_bin.55	72.46	3.43	Gradient Boost (General Model)	11	0.931	3151	260.08328479906817	2870349	0.7	3434	1060	20532	None
Crust_bin.56	84.69	5.97	Gradient Boost (General Model)	11	0.911	5817	260.95724258289704	3927162	0.71	4584	835	22341	None
Crust_bin.62	61.83	3.31	Neural Network (Specific Model)	11	0.805	4637	264.21451948824756	3302959	0.53	3361	826	21038	None
Crust_bin.74	100.0	2.57	Gradient Boost (General Model)	11	0.894	106855	334.5552781740371	6282436	0.62	5608	88	428216	None
Crust_bin.76	62.62	2.82	Neural Network (Specific Model)	11	0.903	3381	246.3634776536313	2340188	0.68	2864	748	14650	None
Crust_bin.77	94.26	3.13	Neural Network (Specific Model)	11	0.86	15847	322.2870768655321	6001165	0.56	5347	570	66767	None
Crust_bin.78	99.6	0.79	Neural Network (Specific Model)	11	0.917	95451	307.1634062140391	2613787	0.61	2607	44	349897	None
Crust_bin.79	83.88	4.65	Gradient Boost (General Model)	11	0.874	5972	268.7637334251765	5345949	0.69	5807	1097	57109	None
Crust_bin.8	82.86	4.06	Neural Network (Specific Model)	11	0.804	8215	221.6409168081494	1941922	0.41	2356	323	60268	None
Crust_bin.87	74.94	2.72	Gradient Boost (General Model)	11	0.946	3556	262.98408710217757	2979511	0.73	3582	913	18564	None
Crust_bin.88	85.55	8.33	Gradient Boost (General Model)	11	0.895	4615	274.24404870070873	5049384	0.63	5503	1306	25892	None
Crust_bin.93	48.62	0.38	Gradient Boost (General Model)	11	0.93	4283	268.19602272727275	911612	0.71	1056	234	10373	None
Crust_bin.98	76.22	2.04	Gradient Boost (General Model)	11	0.929	3674	261.1297792137857	3125150	0.75	3714	1054	15683	None
